Date,Catégorie,Produit,Région,Ventes,Client,Année,Tendance_saisonnière,Tendance_annuelle
2022-01-01,Electronique,Ordinateur,Nord,8270,52,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Nord,1860,15,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Nord,6191,61,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Nord,6734,83,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Nord,5426,75,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Nord,9322,22,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Nord,1769,88,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Nord,7949,2,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Nord,6311,60,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Nord,7420,33,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Nord,5555,58,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Nord,7396,89,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Sud,9666,59,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Sud,3558,42,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Sud,3047,92,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Sud,3747,80,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Sud,1189,62,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Sud,3734,62,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Sud,5658,55,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Sud,2267,64,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Sud,2528,3,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Sud,4556,51,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Sud,9838,21,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Sud,6393,4,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Est,9792,60,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Est,9433,9,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Est,8513,53,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Est,8041,84,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Est,7235,60,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Est,1775,47,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Est,9226,78,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Est,4152,36,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Est,2585,4,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Est,4073,6,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Est,4843,54,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Est,7873,44,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Ouest,1161,74,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Ouest,1995,14,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Ouest,8629,87,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Ouest,2016,62,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Ouest,7439,85,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Ouest,7863,82,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Ouest,1878,53,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Ouest,5887,26,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Ouest,5859,60,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Ouest,9571,41,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Ouest,6276,15,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Ordinateur,Ouest,1064,89,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Nord,9006,9,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Nord,6463,1,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Nord,3027,8,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Nord,6258,81,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Nord,1391,35,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Nord,6892,41,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Nord,4099,7,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Nord,9392,72,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Nord,4104,48,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Nord,3454,62,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Nord,9996,99,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Nord,3731,86,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Sud,9154,35,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Sud,6056,99,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Sud,9110,78,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Sud,4840,5,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Sud,8385,14,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Sud,7938,9,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Sud,1206,15,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Sud,6977,42,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Sud,8035,77,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Sud,8858,63,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Sud,1863,52,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Sud,6116,96,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Est,7019,94,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Est,8574,15,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Est,4242,29,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Est,2059,13,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Est,4157,28,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Est,3693,28,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Est,4627,84,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Est,6450,92,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Est,6592,62,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Est,8392,1,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Est,2306,62,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Est,7776,77,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Ouest,6864,3,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Ouest,8526,70,2022-02-01,5517.98046875,5371.659722222223
